,date,start,end
98,04-08,5:25:12 AM,7:51:22 PM
99,04-09,5:23:05 AM,7:52:57 PM
100,04-10,5:20:58 AM,7:54:32 PM
101,04-11,5:18:52 AM,7:56:08 PM
102,04-12,5:16:45 AM,7:57:43 PM
103,04-13,5:14:40 AM,7:59:19 PM
104,04-14,5:12:35 AM,8:00:55 PM
105,04-15,5:10:30 AM,8:02:31 PM
106,04-16,5:08:26 AM,8:04:07 PM
107,04-17,5:06:22 AM,8:05:43 PM
108,04-18,5:04:19 AM,8:07:20 PM
109,04-19,5:02:17 AM,8:08:57 PM
110,04-20,5:00:16 AM,8:10:34 PM
111,04-21,4:58:15 AM,8:12:11 PM
112,04-22,4:56:15 AM,8:13:48 PM
113,04-23,4:54:16 AM,8:15:25 PM
114,04-24,4:52:18 AM,8:17:02 PM
115,04-25,4:50:20 AM,8:18:39 PM
116,04-26,4:48:24 AM,8:20:17 PM
117,04-27,4:46:29 AM,8:21:54 PM
118,04-28,4:44:34 AM,8:23:32 PM
119,04-29,4:42:41 AM,8:25:09 PM
120,04-30,4:40:49 AM,8:26:46 PM
121,05-01,4:38:58 AM,8:28:23 PM
122,05-02,4:37:09 AM,8:30:00 PM
123,05-03,4:35:20 AM,8:31:37 PM
124,05-04,4:33:33 AM,8:33:13 PM
125,05-05,4:31:48 AM,8:34:50 PM
126,05-06,4:30:04 AM,8:36:26 PM
127,05-07,4:28:21 AM,8:38:01 PM
128,05-08,4:26:40 AM,8:39:36 PM
129,05-09,4:25:00 AM,8:41:11 PM
130,05-10,4:23:22 AM,8:42:46 PM
131,05-11,4:21:46 AM,8:44:19 PM
132,05-12,4:20:11 AM,8:45:52 PM
133,05-13,4:18:39 AM,8:47:25 PM
134,05-14,4:17:08 AM,8:48:57 PM
135,05-15,4:15:39 AM,8:50:28 PM
136,05-16,4:14:12 AM,8:51:58 PM
137,05-17,4:12:47 AM,8:53:27 PM
138,05-18,4:11:24 AM,8:54:55 PM
139,05-19,4:10:04 AM,8:56:22 PM
140,05-20,4:08:45 AM,8:57:48 PM
141,05-21,4:07:29 AM,8:59:13 PM
142,05-22,4:06:15 AM,9:00:37 PM
143,05-23,4:05:04 AM,9:01:59 PM
144,05-24,4:03:55 AM,9:03:19 PM
145,05-25,4:02:48 AM,9:04:39 PM
146,05-26,4:01:44 AM,9:05:56 PM
147,05-27,4:00:43 AM,9:07:12 PM
148,05-28,3:59:44 AM,9:08:27 PM
149,05-29,3:58:48 AM,9:09:39 PM
150,05-30,3:57:54 AM,9:10:50 PM
151,05-31,3:57:04 AM,9:11:58 PM
152,06-01,3:56:16 AM,9:13:05 PM
153,06-02,3:55:31 AM,9:14:09 PM
154,06-03,3:54:50 AM,9:15:11 PM
155,06-04,3:54:11 AM,9:16:11 PM
156,06-05,3:53:35 AM,9:17:09 PM
157,06-06,3:53:02 AM,9:18:04 PM
158,06-07,3:52:32 AM,9:18:56 PM
159,06-08,3:52:06 AM,9:19:46 PM
160,06-09,3:51:42 AM,9:20:33 PM
161,06-10,3:51:22 AM,9:21:18 PM
162,06-11,3:51:05 AM,9:22:00 PM
163,06-12,3:50:51 AM,9:22:38 PM
164,06-13,3:50:40 AM,9:23:14 PM
165,06-14,3:50:33 AM,9:23:48 PM
166,06-15,3:50:28 AM,9:24:18 PM
167,06-16,3:50:27 AM,9:24:45 PM
168,06-17,3:50:29 AM,9:25:09 PM
169,06-18,3:50:35 AM,9:25:29 PM
170,06-19,3:50:43 AM,9:25:47 PM
171,06-20,3:50:55 AM,9:26:01 PM
172,06-21,3:51:10 AM,9:26:13 PM
173,06-22,3:51:28 AM,9:26:21 PM
174,06-23,3:51:49 AM,9:26:25 PM
175,06-24,3:52:13 AM,9:26:27 PM
176,06-25,3:52:40 AM,9:26:25 PM
177,06-26,3:53:10 AM,9:26:20 PM
178,06-27,3:53:43 AM,9:26:12 PM
179,06-28,3:54:19 AM,9:26:00 PM
180,06-29,3:54:57 AM,9:25:46 PM
181,06-30,3:55:39 AM,9:25:28 PM
182,07-01,3:56:23 AM,9:25:06 PM
183,07-02,3:57:10 AM,9:24:42 PM
184,07-03,3:57:59 AM,9:24:14 PM
185,07-04,3:58:51 AM,9:23:43 PM
186,07-05,3:59:45 AM,9:23:10 PM
187,07-06,4:00:41 AM,9:22:33 PM
188,07-07,4:01:40 AM,9:21:53 PM
189,07-08,4:02:41 AM,9:21:10 PM
190,07-09,4:03:44 AM,9:20:24 PM
191,07-10,4:04:50 AM,9:19:35 PM
192,07-11,4:05:57 AM,9:18:43 PM
193,07-12,4:07:06 AM,9:17:49 PM
194,07-13,4:08:17 AM,9:16:51 PM
195,07-14,4:09:29 AM,9:15:51 PM
196,07-15,4:10:43 AM,9:14:49 PM
197,07-16,4:11:59 AM,9:13:44 PM
198,07-17,4:13:16 AM,9:12:36 PM
199,07-18,4:14:35 AM,9:11:26 PM
200,07-19,4:15:55 AM,9:10:13 PM
201,07-20,4:17:16 AM,9:08:58 PM
202,07-21,4:18:39 AM,9:07:40 PM
203,07-22,4:20:02 AM,9:06:21 PM
204,07-23,4:21:27 AM,9:04:59 PM
205,07-24,4:22:52 AM,9:03:35 PM
206,07-25,4:24:19 AM,9:02:09 PM
207,07-26,4:25:46 AM,9:00:41 PM
208,07-27,4:27:14 AM,8:59:10 PM
209,07-28,4:28:43 AM,8:57:38 PM
210,07-29,4:30:12 AM,8:56:04 PM
211,07-30,4:31:42 AM,8:54:29 PM
212,07-31,4:33:13 AM,8:52:51 PM
213,08-01,4:34:44 AM,8:51:12 PM
214,08-02,4:36:15 AM,8:49:31 PM
215,08-03,4:37:47 AM,8:47:49 PM
216,08-04,4:39:19 AM,8:46:05 PM
217,08-05,4:40:51 AM,8:44:20 PM
218,08-06,4:42:24 AM,8:42:33 PM
219,08-07,4:43:57 AM,8:40:45 PM
220,08-08,4:45:30 AM,8:38:55 PM
221,08-09,4:47:03 AM,8:37:04 PM
222,08-10,4:48:37 AM,8:35:12 PM
223,08-11,4:50:10 AM,8:33:19 PM
224,08-12,4:51:43 AM,8:31:24 PM
225,08-13,4:53:17 AM,8:29:29 PM
226,08-14,4:54:50 AM,8:27:32 PM
227,08-15,4:56:23 AM,8:25:35 PM
228,08-16,4:57:56 AM,8:23:36 PM
229,08-17,4:59:29 AM,8:21:37 PM
230,08-18,5:01:02 AM,8:19:36 PM
231,08-19,5:02:35 AM,8:17:35 PM
232,08-20,5:04:08 AM,8:15:33 PM
233,08-21,5:05:41 AM,8:13:30 PM
234,08-22,5:07:13 AM,8:11:27 PM
235,08-23,5:08:45 AM,8:09:23 PM
236,08-24,5:10:17 AM,8:07:18 PM
237,08-25,5:11:49 AM,8:05:13 PM
238,08-26,5:13:21 AM,8:03:07 PM
239,08-27,5:14:52 AM,8:01:00 PM
240,08-28,5:16:23 AM,7:58:53 PM
241,08-29,5:17:54 AM,7:56:46 PM
242,08-30,5:19:25 AM,7:54:38 PM
243,08-31,5:20:55 AM,7:52:29 PM
244,09-01,5:22:26 AM,7:50:21 PM
245,09-02,5:23:56 AM,7:48:12 PM
246,09-03,5:25:26 AM,7:46:02 PM
247,09-04,5:26:55 AM,7:43:53 PM
248,09-05,5:28:25 AM,7:41:43 PM
249,09-06,5:29:54 AM,7:39:33 PM
250,09-07,5:31:23 AM,7:37:23 PM
251,09-08,5:32:51 AM,7:35:13 PM
252,09-09,5:34:20 AM,7:33:02 PM
253,09-10,5:35:48 AM,7:30:52 PM
254,09-11,5:37:17 AM,7:28:41 PM
255,09-12,5:38:45 AM,7:26:30 PM
256,09-13,5:40:13 AM,7:24:20 PM
257,09-14,5:41:40 AM,7:22:09 PM
258,09-15,5:43:08 AM,7:19:59 PM
259,09-16,5:44:35 AM,7:17:49 PM
260,09-17,5:46:03 AM,7:15:38 PM
261,09-18,5:47:30 AM,7:13:28 PM
262,09-19,5:48:57 AM,7:11:19 PM
263,09-20,5:50:24 AM,7:09:09 PM
264,09-21,5:51:51 AM,7:07:00 PM
265,09-22,5:53:18 AM,7:04:51 PM
266,09-23,5:54:45 AM,7:02:42 PM
267,09-24,5:56:12 AM,7:00:33 PM
268,09-25,5:57:39 AM,6:58:25 PM
269,09-26,5:59:05 AM,6:56:18 PM
270,09-27,6:00:32 AM,6:54:10 PM
271,09-28,6:01:59 AM,6:52:04 PM
272,09-29,6:03:26 AM,6:49:57 PM
273,09-30,6:04:52 AM,6:47:51 PM
274,10-01,6:06:19 AM,6:45:46 PM
275,10-02,6:07:46 AM,6:43:42 PM
276,10-03,6:09:13 AM,6:41:38 PM
277,10-04,6:10:40 AM,6:39:34 PM
278,10-05,6:12:07 AM,6:37:32 PM
279,10-06,6:13:34 AM,6:35:29 PM
280,10-07,6:15:02 AM,6:33:28 PM
281,10-08,6:16:29 AM,6:31:28 PM
282,10-09,6:17:56 AM,6:29:28 PM
283,10-10,6:19:24 AM,6:27:29 PM
284,10-11,6:20:52 AM,6:25:31 PM
285,10-12,6:22:19 AM,6:23:34 PM
286,10-13,6:23:47 AM,6:21:38 PM
287,10-14,6:25:15 AM,6:19:43 PM
288,10-15,6:26:43 AM,6:17:49 PM
289,10-16,6:28:12 AM,6:15:55 PM
290,10-17,6:29:40 AM,6:14:03 PM
291,10-18,6:31:09 AM,6:12:12 PM
292,10-19,6:32:37 AM,6:10:22 PM
293,10-20,6:34:06 AM,6:08:34 PM
294,10-21,6:35:35 AM,6:06:46 PM
295,10-22,6:37:04 AM,6:05:00 PM
296,10-23,6:38:33 AM,6:03:15 PM
297,10-24,6:40:02 AM,6:01:32 PM
298,10-25,6:41:31 AM,5:59:49 PM
299,10-26,6:43:00 AM,5:58:09 PM
300,10-27,6:44:30 AM,5:56:29 PM
301,10-28,6:45:59 AM,5:54:51 PM
302,10-29,6:47:28 AM,5:53:15 PM
303,10-30,6:48:58 AM,5:51:40 PM
304,10-31,6:50:27 AM,5:50:07 PM
305,11-01,6:51:56 AM,5:48:35 PM
306,11-02,6:53:26 AM,5:47:05 PM
307,11-03,6:54:55 AM,5:45:37 PM
308,11-04,6:56:24 AM,5:44:11 PM
309,11-05,6:57:53 AM,5:42:46 PM
310,11-06,6:59:22 AM,5:41:23 PM
311,11-07,7:00:50 AM,5:40:02 PM
312,11-08,7:02:19 AM,5:38:43 PM
313,11-09,7:03:47 AM,5:37:26 PM
314,11-10,7:05:15 AM,5:36:11 PM
315,11-11,7:06:42 AM,5:34:58 PM
316,11-12,7:08:09 AM,5:33:47 PM
317,11-13,7:09:36 AM,5:32:39 PM
318,11-14,7:11:02 AM,5:31:32 PM
319,11-15,7:12:28 AM,5:30:27 PM
320,11-16,7:13:53 AM,5:29:25 PM
321,11-17,7:15:17 AM,5:28:25 PM
322,11-18,7:16:41 AM,5:27:28 PM
323,11-19,7:18:04 AM,5:26:32 PM
324,11-20,7:19:27 AM,5:25:39 PM
325,11-21,7:20:48 AM,5:24:49 PM
326,11-22,7:22:09 AM,5:24:01 PM
327,11-23,7:23:29 AM,5:23:15 PM
328,11-24,7:24:48 AM,5:22:32 PM
329,11-25,7:26:05 AM,5:21:52 PM
330,11-26,7:27:22 AM,5:21:14 PM
331,11-27,7:28:37 AM,5:20:39 PM
332,11-28,7:29:52 AM,5:20:06 PM
333,11-29,7:31:05 AM,5:19:36 PM
334,11-30,7:32:16 AM,5:19:08 PM
335,12-01,7:33:26 AM,5:18:44 PM
336,12-02,7:34:35 AM,5:18:22 PM
337,12-03,7:35:42 AM,5:18:03 PM
338,12-04,7:36:48 AM,5:17:46 PM
339,12-05,7:37:52 AM,5:17:32 PM
340,12-06,7:38:54 AM,5:17:21 PM
341,12-07,7:39:55 AM,5:17:13 PM
342,12-08,7:40:53 AM,5:17:08 PM
343,12-09,7:41:50 AM,5:17:05 PM
344,12-10,7:42:44 AM,5:17:05 PM
345,12-11,7:43:37 AM,5:17:08 PM
346,12-12,7:44:28 AM,5:17:14 PM
347,12-13,7:45:16 AM,5:17:23 PM
348,12-14,7:46:03 AM,5:17:34 PM
349,12-15,7:46:47 AM,5:17:48 PM
350,12-16,7:47:28 AM,5:18:05 PM
351,12-17,7:48:08 AM,5:18:24 PM
352,12-18,7:48:45 AM,5:18:46 PM
353,12-19,7:49:20 AM,5:19:11 PM
354,12-20,7:49:52 AM,5:19:38 PM
355,12-21,7:50:21 AM,5:20:08 PM
356,12-22,7:50:49 AM,5:20:41 PM
357,12-23,7:51:13 AM,5:21:16 PM
358,12-24,7:51:35 AM,5:21:54 PM
359,12-25,7:51:55 AM,5:22:34 PM
360,12-26,7:52:11 AM,5:23:16 PM
361,12-27,7:52:25 AM,5:24:01 PM
362,12-28,7:52:37 AM,5:24:48 PM
363,12-29,7:52:45 AM,5:25:37 PM
364,12-30,7:52:51 AM,5:26:29 PM
365,12-31,7:52:55 AM,5:27:22 PM
